序号,审批状态,主键ID,主键ID版本号,启禁状态,技术标准版本号,关联物料,物料品类,物料大类,物料归属,适用生产基地代码,适用生产基地名称,检测项目代码,检测项目,是否判定,检测时间,抽样检测方式,取样部门,检测部门,定量定性,初检复检,检测单元数量,检测次数,检测单元单位,检测频率,取样数量,取样单位,是否扣减库存,库存扣减数量,库存扣减单位,检测工具,标准要求,异常标准项,检测指标单位,下限,上限,小数精确位数,异常处理最低不合格量,异常结果显示,检测方法,超标处理方案,备注,有效期起,有效期止
424,,HWBT0434,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,位置⑩长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,318±5,,mm,313.0000,323.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
425,,HWBT0435,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,8886,红牛维他命饮料（江苏）有限公司,YF00000026,位置⑩长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,398±1,,mm,397.0000,399.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
426,,HWBT0436,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,8885,广东红牛维他命饮料有限公司,YF00000026,位置⑩长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,402±2,,mm,400.0000,404.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
427,,HWBT0437,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,8880,红牛维他命饮料有限公司,YF00000026,位置⑩长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,402±2,,mm,400.0000,404.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
428,,HWBT0438,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,8883,红牛维他命饮料（湖北）有限公司,YF00000026,位置⑩长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,402±2,,mm,400.0000,404.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
429,,HWBT0439,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,外观(色泽、标记、内容、条形码),是,到货检测,,储运部,品管部,定性,初检,150000,等于,张,,3,张,是,3,张,目测、手机微信、支付宝,与标准样板一致，不得有明显色差；无文字、图案错误、遗漏；条形码扫描易识别，条码信息匹配,与标准样板不一致/有明显色差/文字错误/图案错误/遗漏/条形码扫读异常/条码信息错配,,,,,1,复检,每次到货每3万张随机抽检3张，不足3万张按照3万张标准进行抽样检测。,若有不合格，取同一检测单元9张进行复检。,,2025-01-01,9999-12-31
430,,HWBT0440,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,外观(色泽、标记、内容、条形码),是,到货检测,,储运部,品管部,定性,复检,150000,大于等于,张,,9,张,是,9,张,目测、手机微信、支付宝,与标准样板一致，不得有明显色差；无文字、图案错误、遗漏；条形码扫描易识别，条码信息匹配,与标准样板不一致/有明显色差/文字错误/图案错误/遗漏/条形码扫读异常/条码信息错配,,,,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
431,,HWBT0441,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,激光码喷码效果,是,到货检测,,储运部,品管部,定性,初检,150000,等于,张,,3,张,是,3,张,激光喷码机,字体清晰、可识别、信息完整,模糊/识别异常/信息不完整,,,,,1,复检,每次到货每3万张随机抽检3张，不足3万张按照3万张标准进行抽样检测。用直尺测量图示中相应位置尺寸。,若有不合格，取同一检测单元9张进行复检。,,2025-01-01,9999-12-31
432,,HWBT0442,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,激光码喷码效果,是,到货检测,,储运部,品管部,定性,复检,150000,大于等于,张,,9,张,是,9,张,激光喷码机,字体清晰、可识别、信息完整,模糊/识别异常/信息不完整,,,,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
433,,HWBT0443,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,外箱二维码,是,到货检测,,储运部,品管部,定性,初检,150000,等于,张,,3,张,是,3,张,目测检查、手机（微信、支付宝）,打印清晰，可识别，信息完整、准确，位于指定区域内,模糊/识别异常/信息不完整/信息错误/未在指定区域,,,,,1,复检,每次到货每3万张随机抽检3张，不足3万张按照3万张标准进行抽样检测。用直尺测量图示中相应位置尺寸。,若有不合格，取同一检测单元9张进行复检。,,2025-01-01,9999-12-31
434,,HWBT0444,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,外箱二维码,是,到货检测,,储运部,品管部,定性,复检,150000,大于等于,张,,9,张,是,9,张,目测检查、手机（微信、支付宝）,打印清晰，可识别，信息完整、准确，位于指定区域内,模糊/识别异常/信息不完整/信息错误/未在指定区域,,,,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
435,,HWBT0445,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,箱内二维码位置,是,到货检测,,储运部,品管部,定性,初检,150000,等于,张,,,张,是,3,张,目测,在指定范围内,,,,,,1,不合格,在侧边及相邻区域内，无序切不固定打印。,若有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
436,,HWBT0446,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,箱内二维码长度,是,到货检测,,储运部,品管部,定量,初检,150000,等于,张,,3,张,是,3,张,直尺,20±1mm,,mm,19.0000,21.0000,,1,复检,每次到货每3万张随机抽检3张，不足3万张按照3万张标准进行抽样检测。用直尺测量图示中相应位置尺寸。,若有不合格，取同一检测单元9张进行复检。,,2025-01-01,9999-12-31
437,,HWBT0447,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,箱内二维码长度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,20±1mm,,mm,19.0000,21.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
438,,HWBT0448,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YC00000008,箱内二维码宽度,是,到货检测,,储运部,品管部,定量,初检,150000,等于,张,,3,张,是,3,张,直尺,20±1mm,,mm,19.0000,21.0000,,1,复检,每次到货每3万张随机抽检3张，不足3万张按照3万张标准进行抽样检测。用直尺测量图示中相应位置尺寸。,若有不合格，取同一检测单元9张进行复检。,,2025-01-01,9999-12-31
439,,HWBT0449,001,禁用,Q/RW-TS-001-2023,"[{'id': 21, 'name': '纸皮/普通型/250ml', 'sap_code': '20000023', 'code': 'GC000021', 'desc': '普通型纸皮'}, {'id': 44, 'name': '纸皮/普通型/250ML/24/30周年版', 'sap_code': '20002030', 'code': 'GC000044', 'desc': '普通型纸皮'}, {'id': 46, 'name': '纸皮/普通型/250ML/30周年版/六罐装/包装', 'sap_code': '20002031', 'code': 'GC000046', 'desc': '六罐装纸皮'}, {'id': 48, 'name': '纸皮/强化型/250ml/蓝色/30周年版', 'sap_code': '20002033', 'code': 'GC000048', 'desc': '强化型纸皮'}, {'id': 50, 'name': '纸皮/普通型/250ML/24/2025新疆专供', 'sap_code': '20002076', 'code': 'GC000050', 'desc': '普通型纸皮'}, {'id': 51, 'name': '纸皮/普通型/250ML/24/30周年版/两元促销/台州专供二期', 'sap_code': '20002116', 'code': 'GC000051', 'desc': '非箱内码促销纸皮'}, {'id': 52, 'name': '纸皮/普通型/250ML/24/30周年广东二期箱内码', 'sap_code': '20002166', 'code': 'GC000052', 'desc': '箱内码促销纸皮'}, {'id': 53, 'name': '纸皮/普通型/250ML/24/30周年普通箱内码二期/2025', 'sap_code': '20002167', 'code': 'GC000053', 'desc': '箱内码促销纸皮'}]",纸皮,包材,红牛,,,YF00000026,箱内二维码宽度,是,到货检测,,储运部,品管部,定量,复检,150000,大于等于,张,,9,张,是,9,张,直尺,20±1mm,,mm,19.0000,21.0000,,1,不合格,从初检问题检测单元中取9张进行复检。,若仍有不合格，则判定该批次检测不合格。,,2025-01-01,9999-12-31
