序号,物料编码,商品名称,启/禁状态,单位重量(吨/箱),物料单位,单位货值(元/箱),纸箱价格(元/张),外包装箱价格,是否促销物料,是否箱内码促销,是否消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止,创建时间
317,10001003,红牛/强化型/250ml/蓝色/24/28周年,启用,0.00740,CAR,112.80,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:01
318,10001001,红牛/普通型/250ML/六罐装/28周年,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:22:00
319,10001000,红牛/250ML/24/28周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:59
320,10000998,红牛/250ML/24/28周年纪念装/两元促销/台州专供,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:59
321,10000997,红牛/250ML/24/27周年版/两元促销/台州专供,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:58
322,10001031,红牛维生素功能饮料/普通型/250ML/12/2024开门红加大礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:58
323,10001030,红牛维生素功能饮料/普通型/250ML/12/2024开门红礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:57
324,10000994,红牛/250ML/12/2023开门红加大礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:57
325,10000993,红牛/250ML/12/2023开门红礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:56
326,10000978,红牛/普通型/250ML/24/2022普通装箱内码2期,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:56
327,10000962,红牛/普通型/250ML/24/1元乐享/2022,启用,0.00740,CAR,,,0.00,否,否,否,否,西北1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:55
328,10000961,红牛/普通型/250ML/24/广东促销/2022,启用,0.00740,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:55
329,10000960,红牛/250ML/扫码促销/六罐装/缩膜装/2022,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:54
330,10000959,红牛/普通型/250ML/24/2022普通装箱内码,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:54
331,10000957,红牛/普通型/250ML/24/扫码促销-含箱内码/2022,启用,0.00740,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:53
332,10000955,红牛/普通型/250ML/24/扫码促销/2022,启用,0.00740,CAR,,,0.00,否,否,否,否,扫码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:53
333,10000945,红牛/强化型/250ml/蓝色/24/27周年,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:52
334,10000944,红牛/普通型/250ML/六罐装/27周年,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:52
335,10000943,红牛/250ML/24/27周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:51
336,10000938,红牛/250ML/12/2022开门红加大礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:51
337,10000937,红牛/250ML/12/2022开门红礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:21:50
338,10000932,红牛/普通型/250ML/24/普通箱内码促销/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:37
339,10000931,红牛/普通型/250ML/24/箱内码/电子标签/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:35
340,10000928,红牛/250ML/12/2021双节礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:34
341,10000914,红牛/250ML/2021/扫码促销/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:34
342,10000919,红牛/普通型/250ML/24/1元享红牛/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:32
343,10000917,红牛/普通型/250ML/24/广东促销/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:32
344,10000916,红牛/普通型/250ML/24/广东促销-非电子标签/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:31
345,10000915,红牛/普通型/250ML/24/扫码促销-箱内码/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:30
346,10000913,红牛/普通型/250ML/24/扫码促销/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:29
347,10000845,红牛/250ML/2020/1元轻松享/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:28
348,10000843,红牛/250ML/2020/扫码促销/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:27
349,10000788,红牛/普通型/250ML/2019壹元再享/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:23
350,10000784,红牛/普通型/250ML/2019扫码促销/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:23
351,10000750,红牛/普通型/250ML/2018壹元乐享/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:21
352,10000746,红牛/普通型/250ML/2018扫码促销/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:19
353,10000901,红牛/普通型/250ML/六罐装/26周年,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:19
354,10000820,红牛/普通型/250ML/六罐装/25周年,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:18
355,10000387,红牛/普通型/250ML/六罐装/缩膜装,启用,0.00185,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:16
356,10000044,红牛维生素功能饮料/牛磺酸强化型/250ml/四罐装,启用,0.00123,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,0.167,红牛,强化四罐礼盒,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:15
357,10000001,红牛/强化型/250ml/蓝色/24,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:14
358,10000177,红牛/强化型/250ml/蓝色/24/充氮,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:13
359,10000902,红牛/强化型/250ml/蓝色/24/26周年,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:12
360,10000822,红牛/强化型/250ml/蓝色/24/25周年,启用,0.00740,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:12
361,10000844,红牛/普通型/250ML/24/1元轻松享/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:10
362,10000787,红牛/普通型/250ML/24/壹元再享/2019,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:10
363,10000748,红牛/普通型/250ML/24/壹元乐享/2018,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:09
364,10000832,红牛/普通型/250ML/24/华新扫码-3元箱码/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:08
365,10000831,红牛/普通型/250ML/24/扫码促销-3元箱码/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:07
366,10000830,红牛/普通型/250ML/24/扫码促销-2元箱码/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:07
367,10000794,红牛/普通型/250ML/24/扫码促销-3元纸箱/2019,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:06
368,10000829,红牛/普通型/250ML/24/扫码促销/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:05
369,10000783,红牛/普通型/250ML/24/扫码促销/2019,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:04
370,10000795,红牛/普通型/250ML/24/华新/扫码促销-3元纸箱/2019,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:03
371,10000785,红牛/普通型/250ML/24/华新/扫码促销/2019,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:02
372,10000745,红牛/普通型/250ML/24/2018扫码促销/华新专供,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:00
373,10000744,红牛/普通型/250ML/24/扫码促销/2018,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:20:00
374,10000819,红牛/普通型/250ML/24/华新/25周年,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:59
375,10000163,红牛/普通型/250ml/24/华新/充氮,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:58
376,10000876,红牛/普通型/250ML/24/华南1元轻松享/2020,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:58
377,10000875,红牛/普通型/250ML/24/华南促销/2021,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:57
378,10000869,1,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:56
379,10000766,红牛/普通型/250ML/24/华新2元回收/2018,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:55
380,10000765,红牛/普通型/250ML/24/南区2元回收/2018,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:55
381,10000896,红牛/250ML/12/2021开门红专项礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:54
382,10000895,红牛/250ML/12/2021开门红礼盒,启用,0.00370,CAR,,,0.00,否,否,否,否,12罐礼盒,,否,否,,,,,否,,,,0.500,红牛,十二罐礼盒,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:52
383,10000864,红牛/250ML/24/专供型,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:52
384,10000900,红牛/250ML/24/26周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:51
385,10000818,红牛/250ML/24/25周年纪念装,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:50
386,10000002,红牛/普通型/250ml/24/非卖品,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:50
387,10000813,红牛/普通型/250ml/24,启用,0.00740,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:19:49
388,10001188,红牛维生素功能饮料/普通型/250ML/24/31周年纪念装,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:05:10
389,10001199,红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026,启用,,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 09:45:58
