序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
166,编辑 删除,487,81000101,国产/芙丝气泡水330ML/24瓶装/柠檬黄瓜,0.00860,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 234, 'goods_id': 487, 'weight': '0.00860', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
167,编辑 删除,486,81000100,国产/芙丝气泡水330ML/24瓶装/青提葡萄,0.00860,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 233, 'goods_id': 486, 'weight': '0.00860', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
168,编辑 删除,485,81000099,国产/芙丝气泡水330ML/24瓶装/樱花白桃,0.00860,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 232, 'goods_id': 485, 'weight': '0.00860', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
169,编辑 删除,484,81000096,国产/芙丝气泡水330ML/24瓶装/青柠生姜,0.00860,1.000,国产芙丝,,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 231, 'goods_id': 484, 'weight': '0.00860', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
170,编辑 删除,483,81000164,国产/芙丝水330ML/24瓶装/滴滴联标/牛皮纸,0.00928,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 230, 'goods_id': 483, 'weight': '0.00928', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
171,编辑 删除,482,81000161,国产/芙丝水330ML/30瓶装/电商纯享,0.01175,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 229, 'goods_id': 482, 'weight': '0.01175', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
172,编辑 删除,481,81000160,国产/芙丝水500ML/20瓶装/电商纯享,0.01145,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 228, 'goods_id': 481, 'weight': '0.01145', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
173,编辑 删除,480,81000130,国产/芙丝水330ML/24瓶装/万达瑞华联标,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 227, 'goods_id': 480, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
174,编辑 删除,479,81000126,国产/芙丝水500ML/24瓶装/出口澳门,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 226, 'goods_id': 479, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
175,编辑 删除,478,81000125,国产/芙丝水330ML/24瓶装/出口澳门,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 225, 'goods_id': 478, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
176,编辑 删除,477,81000038,国产/芙丝水500ML/24瓶装/出口新加坡,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 224, 'goods_id': 477, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
177,编辑 删除,476,81000039,国产/芙丝水330ML/24瓶装/出口新加坡,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 223, 'goods_id': 476, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
178,编辑 删除,475,81000060,国产/芙丝水4L/4瓶装,0.01770,1.000,国产芙丝,,国产芙丝4LPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 222, 'goods_id': 475, 'weight': '0.01770', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
179,编辑 删除,474,81000064,国产/芙丝水330ML/24瓶装/电商/品鉴,0.00920,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 221, 'goods_id': 474, 'weight': '0.00920', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
180,编辑 删除,473,81000030,国产/芙丝水500ML/12瓶装/白膜,0.00705,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,89,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 220, 'goods_id': 473, 'weight': '0.00705', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
181,编辑 删除,472,81000195,国产/芙丝水330ML/24瓶装/WHDH联标,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 219, 'goods_id': 472, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
182,编辑 删除,471,81000195,国产/芙丝水330ML/24瓶装/湖北中烟联标,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 218, 'goods_id': 471, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
183,编辑 删除,470,81000194,国产/芙丝水330ML/24瓶装/LUX酒店联名,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 217, 'goods_id': 470, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
184,编辑 删除,469,81000190,国产/芙丝水330ML/24瓶装/特供装,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 216, 'goods_id': 469, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
185,编辑 删除,468,81000003,国产/芙丝水330ML/24瓶装/白膜,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 215, 'goods_id': 468, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
186,编辑 删除,467,81000001,国产/芙丝水330ML/24瓶装,0.00960,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 214, 'goods_id': 467, 'weight': '0.00960', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
187,编辑 删除,466,81000192,国产/芙丝水500ML/24瓶装/特供装,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 213, 'goods_id': 466, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
188,编辑 删除,465,81000141,国产/芙丝水500ML/24瓶装/红韵/圣诞装,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 212, 'goods_id': 465, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
189,编辑 删除,464,81000114,国产/芙丝水500ML/24瓶装/长江河湖联标,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 211, 'goods_id': 464, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
190,编辑 删除,463,81000113,国产/芙丝水500ML/24瓶装/便利蜂联标,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 210, 'goods_id': 463, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
191,编辑 删除,462,81000090,国产/芙丝水500ML/24瓶装/红韵,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 209, 'goods_id': 462, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
192,编辑 删除,461,81000002,国产/芙丝水500ML/24瓶装/白膜,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 208, 'goods_id': 461, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
193,编辑 删除,460,81000000,国产/芙丝水500ML/24瓶装,0.01390,1.000,国产芙丝,,国产芙丝500MLPET,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 207, 'goods_id': 460, 'weight': '0.01390', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
194,编辑 删除,459,70000124,唯他可可椰子水/原味/310ml/罐装,0.00825,1.000,唯他可可,,唯他可可310ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 206, 'goods_id': 459, 'weight': '0.00825', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
195,编辑 删除,458,70000121,唯他可可椰子水/醇香风味/500ml/PET瓶装,0.00668,1.000,唯他可可,,唯他可可500ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 205, 'goods_id': 458, 'weight': '0.00668', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
196,编辑 删除,457,70000060,唯他可可椰子水/原味/500ml/六瓶装,0.00340,1.000,唯他可可,,唯他可可500ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 204, 'goods_id': 457, 'weight': '0.00340', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
197,编辑 删除,456,70000051,唯他可可椰子水/原味/500ml,0.00667,1.000,唯他可可,,唯他可可500ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 203, 'goods_id': 456, 'weight': '0.00667', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
198,编辑 删除,455,70000050,唯他可可椰子水/蜂蜜味/330ml,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 202, 'goods_id': 455, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
199,编辑 删除,454,70000045,唯他可可椰子水/菠萝味/330ml,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 201, 'goods_id': 454, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
200,编辑 删除,453,70000043,唯他可可椰子水/原味/330ml/航空专用,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 200, 'goods_id': 453, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
201,编辑 删除,452,70000041,唯他可可椰子水/原味/1L/航空专用,0.01320,1.000,唯他可可,,唯他可可1L,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 199, 'goods_id': 452, 'weight': '0.01320', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
202,编辑 删除,451,70000128,唯他可可椰子水/凤梨口味/330ml,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 198, 'goods_id': 451, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
203,编辑 删除,450,70000123,唯他可可椰子水/醇香风味/330ml/利乐瓶装,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 197, 'goods_id': 450, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
204,编辑 删除,449,70000071,唯他可可椰子水/原味/330ml/天猫专供,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 196, 'goods_id': 449, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
205,编辑 删除,448,70000002,唯他可可椰子水/原味/330ml,0.00450,1.000,唯他可可,,唯他可可330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 195, 'goods_id': 448, 'weight': '0.00450', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
206,编辑 删除,447,70000001,唯他可可椰子水/原味/1L,0.01320,1.000,唯他可可,,唯他可可1L,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 194, 'goods_id': 447, 'weight': '0.01320', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
207,编辑 删除,446,60000235,果倍爽/樱桃复合果汁/330ML/文案装,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 193, 'goods_id': 446, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
208,编辑 删除,445,60000234,果倍爽/红葡萄汁/330ML/文案装,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 192, 'goods_id': 445, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
209,编辑 删除,444,60000233,果倍爽/橙汁/330ML/文案装,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 191, 'goods_id': 444, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
210,编辑 删除,443,60000022,果倍爽/樱桃复合果汁/330ML,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 190, 'goods_id': 443, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
211,编辑 删除,442,60000021,果倍爽/红葡萄汁/330ML,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 189, 'goods_id': 442, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
212,编辑 删除,441,60000020,果倍爽/橙汁/330ML,0.00554,1.000,果倍爽,,果倍爽330ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 188, 'goods_id': 441, 'weight': '0.00554', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
213,编辑 删除,440,60000256,果倍爽/猕猴桃复合果汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 187, 'goods_id': 440, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
214,编辑 删除,439,60000255,果倍爽/黑加仑复合果汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 186, 'goods_id': 439, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
215,编辑 删除,438,60000254,果倍爽/桃苹果复合果汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 185, 'goods_id': 438, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
216,编辑 删除,437,60000253,果倍爽/梨汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 184, 'goods_id': 437, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
217,编辑 删除,436,60000252,果倍爽/白葡萄汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 183, 'goods_id': 436, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
218,编辑 删除,435,60000251,果倍爽/橙汁/六袋装/200ML/果小包盲盒,0.00420,1.000,果倍爽,,果倍爽200ML,,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2024-01-10 14:56:53,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 182, 'goods_id': 435, 'weight': '0.00420', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
